model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
gpt2-small,mlp_out,0,0.0,0.9623561501502991,0.9869433641433716,0.4639822542667389,0.8751932382583618,0.9152355790138245,0.7779940366744995,0.6052747368812561,0.006052747368812561,0.0,0.0033671061974018812,0.006927490234375,0.9897053837776184
gpt2-small,mlp_out,1,0.09090909090909091,0.9553360939025879,0.9817467927932739,0.5221765637397766,0.834635317325592,0.8917083144187927,0.4024158716201782,0.16193853318691254,0.0016193853225558996,0.0055948891676962376,2.0345052689663135e-05,0.008188883773982525,0.9861958622932434
gpt2-small,mlp_out,2,0.18181818181818182,0.9744983315467834,0.9916389584541321,0.6997275352478027,0.9057558178901672,0.9427644610404968,0.449156790971756,0.20174181461334229,0.0020174181554466486,0.000335693359375,0.00010172525799134746,0.0034586589317768812,0.9961039423942566
gpt2-small,mlp_out,3,0.2727272727272727,0.9782524704933167,0.9947184324264526,0.6790909767150879,0.9334624409675598,0.9628174901008606,0.49375277757644653,0.24379180371761322,0.0024379179812967777,0.00537109375,0.002899169921875,0.0012105306377634406,0.9905192255973816
gpt2-small,mlp_out,4,0.36363636363636365,0.9774925708770752,0.9940782189369202,0.6833859086036682,0.9313575029373169,0.9590384364128113,0.5088763236999512,0.25895509123802185,0.0025895508006215096,0.0048421225510537624,0.003021240234375,0.0005900065298192203,0.991546630859375
gpt2-small,mlp_out,5,0.45454545454545453,0.9803170561790466,0.9958270192146301,0.6041984558105469,0.9422421455383301,0.9698123931884766,0.5967673063278198,0.3561311960220337,0.0035613118670880795,0.005859375,0.002777099609375,0.0016581217059865594,0.9897053837776184
gpt2-small,mlp_out,6,0.5454545454545454,0.9773504137992859,0.9951626658439636,0.5691466927528381,0.9339019656181335,0.9631032347679138,0.6809808015823364,0.463734894990921,0.004637348931282759,0.0077107748948037624,0.0027364094275981188,0.002044677734375,0.9875081181526184
gpt2-small,mlp_out,7,0.6363636363636364,0.981654167175293,0.9966564774513245,0.6664283275604248,0.9539138674736023,0.9740849137306213,0.8140847682952881,0.6627339720726013,0.006627339404076338,0.008768717758357525,0.0028483073692768812,0.0010477701434865594,0.987335205078125
gpt2-small,mlp_out,8,0.7272727272727273,0.9745692610740662,0.9938919544219971,0.57039874792099,0.923827052116394,0.9592111110687256,0.9867093563079834,0.9735954403877258,0.009735953994095325,0.007415771484375,0.0030517578125,0.0016072591533884406,0.9879252314567566
gpt2-small,mlp_out,9,0.8181818181818182,0.9757788181304932,0.9940065741539001,0.4414944648742676,0.9413878321647644,0.9637064933776855,1.2139091491699219,1.4735753536224365,0.014735753647983074,0.007598876953125,0.0028788249474018812,0.0046590170823037624,0.98486328125
gpt2-small,mlp_out,10,0.9090909090909091,0.9712913036346436,0.9940535426139832,0.27488791942596436,0.9266988635063171,0.955647885799408,1.5590343475341797,2.4305880069732666,0.024305880069732666,0.0047810873948037624,0.0033060710411518812,0.0076700844801962376,0.9842427372932434
gpt2-small,mlp_out,11,1.0,0.9728725552558899,0.9928222894668579,0.5865016579627991,0.9093354940414429,0.95081627368927,1.7483453750610352,3.056711435317993,0.030567113310098648,0.0,0.001617431640625,0.0044657387770712376,0.9939168095588684
gpt2-medium,mlp_out,0,0.0,0.9296389818191528,0.9714722037315369,0.15481068193912506,0.7484287619590759,0.8287401795387268,1.2646344900131226,1.5993002653121948,0.01599300280213356,0.0,0.0085601806640625,0.008514404296875,0.9829254150390625
gpt2-medium,mlp_out,1,0.043478260869565216,0.9412803649902344,0.9723731875419617,0.6533759832382202,0.7824606895446777,0.8442299962043762,0.5151867866516113,0.2654174566268921,0.0026541745755821466,0.0,2.288818359375e-05,0.00507354736328125,0.994903564453125
gpt2-medium,mlp_out,2,0.08695652173913043,0.9653738141059875,0.9834873080253601,0.774973452091217,0.8724380135536194,0.9085367918014526,0.46359843015670776,0.21492348611354828,0.0021492347586899996,0.0,0.00017547607421875,0.00075531005859375,0.9990692138671875
gpt2-medium,mlp_out,3,0.13043478260869565,0.9796990156173706,0.9918491244316101,0.8395562767982483,0.9274176955223083,0.9500176310539246,0.4925473928451538,0.24260291457176208,0.002426029182970524,0.00128936767578125,6.103515625e-05,0.0013885498046875,0.9972610473632812
gpt2-medium,mlp_out,4,0.17391304347826086,0.9791266918182373,0.9934729337692261,0.7248554825782776,0.9429535865783691,0.9622467160224915,0.5372767448425293,0.2886662781238556,0.0028866627253592014,0.0053558349609375,0.00244903564453125,0.00066375732421875,0.9915313720703125
gpt2-medium,mlp_out,5,0.21739130434782608,0.9800478219985962,0.9940783977508545,0.7277319431304932,0.9424784183502197,0.9635968208312988,0.5644218921661377,0.3185720443725586,0.0031857204157859087,0.00457763671875,0.0025787353515625,0.001190185546875,0.9916534423828125
gpt2-medium,mlp_out,6,0.2608695652173913,0.9821913242340088,0.995775043964386,0.6731196641921997,0.9561526775360107,0.9720099568367004,0.5988836884498596,0.3586616516113281,0.0035866163671016693,0.00537109375,0.002166748046875,0.00295257568359375,0.9895095825195312
gpt2-medium,mlp_out,7,0.30434782608695654,0.9814913272857666,0.9950206875801086,0.7371585965156555,0.9509891271591187,0.9672718048095703,0.6709368228912354,0.45015621185302734,0.004501562099903822,0.00494384765625,0.00284576416015625,0.0006103515625,0.9916000366210938
gpt2-medium,mlp_out,8,0.34782608695652173,0.9809355139732361,0.9948742985725403,0.6709277033805847,0.9502550363540649,0.9677197337150574,0.668638288974762,0.4470771551132202,0.00447077164426446,0.00597381591796875,0.00182342529296875,0.001495361328125,0.9907073974609375
gpt2-medium,mlp_out,9,0.391304347826087,0.9812040328979492,0.9956567287445068,0.6485192179679871,0.9568472504615784,0.9718000888824463,0.7112710475921631,0.5059064626693726,0.005059064365923405,0.0057830810546875,0.00201416015625,0.0026702880859375,0.989532470703125
gpt2-medium,mlp_out,10,0.43478260869565216,0.980779767036438,0.9950677156448364,0.6566042304039001,0.9516106843948364,0.9695791602134705,0.7529968619346619,0.5670042634010315,0.005670042708516121,0.006072998046875,0.001739501953125,0.000823974609375,0.991363525390625
gpt2-medium,mlp_out,11,0.4782608695652174,0.9809586405754089,0.9953153729438782,0.6379736661911011,0.9538296461105347,0.9709202647209167,0.7815512418746948,0.6108223795890808,0.006108223460614681,0.0059356689453125,0.00186920166015625,0.00110626220703125,0.9910888671875
gpt2-medium,mlp_out,12,0.5217391304347826,0.9840513467788696,0.9967387914657593,0.6948170065879822,0.9645721316337585,0.9779004454612732,0.8233168721199036,0.677850604057312,0.006778506096452475,0.006195068359375,0.00160980224609375,0.001129150390625,0.9910659790039062
gpt2-medium,mlp_out,13,0.5652173913043478,0.9816653728485107,0.9960368275642395,0.5958776473999023,0.9553613066673279,0.9722738862037659,0.8605512976646423,0.7405484914779663,0.007405484560877085,0.006256103515625,0.00156402587890625,0.00211334228515625,0.9900665283203125
gpt2-medium,mlp_out,14,0.6086956521739131,0.9834144115447998,0.9966501593589783,0.5947126746177673,0.9648677110671997,0.9778535962104797,0.9164115190505981,0.8398100733757019,0.008398100733757019,0.00637054443359375,0.0014495849609375,0.0018310546875,0.9903488159179688
gpt2-medium,mlp_out,15,0.6521739130434783,0.9827381372451782,0.9965147376060486,0.5799314379692078,0.9611230492591858,0.9745118618011475,0.9974215626716614,0.9948497414588928,0.009948497638106346,0.00653839111328125,0.0012969970703125,0.00211334228515625,0.99005126953125
gpt2-medium,mlp_out,16,0.6956521739130435,0.9809548854827881,0.9959610104560852,0.5658432841300964,0.9531737565994263,0.972170889377594,1.0733791589736938,1.152142882347107,0.01152142882347107,0.006622314453125,0.001220703125,0.001922607421875,0.990234375
gpt2-medium,mlp_out,17,0.7391304347826086,0.9825224876403809,0.996288537979126,0.5531312227249146,0.9550589323043823,0.9746389389038086,1.1723167896270752,1.3743268251419067,0.013743268325924873,0.006927490234375,0.00089263916015625,0.00140380859375,0.9907760620117188
gpt2-medium,mlp_out,18,0.782608695652174,0.9767288565635681,0.9930993318557739,0.6256880164146423,0.9357860088348389,0.9575548768043518,1.2869513034820557,1.6562435626983643,0.016562435775995255,0.00673675537109375,0.0011444091796875,0.001953125,0.9901657104492188
gpt2-medium,mlp_out,19,0.8260869565217391,0.9810174703598022,0.9959684014320374,0.5557897686958313,0.9504578113555908,0.9722774624824524,1.3984215259552002,1.955582857131958,0.019555827602744102,0.0067291259765625,0.0011749267578125,0.00299072265625,0.989105224609375
gpt2-medium,mlp_out,20,0.8695652173913043,0.9789981842041016,0.9948158860206604,0.5929117202758789,0.9445759057998657,0.9667637348175049,1.5133280754089355,2.2901618480682373,0.022901618853211403,0.00643157958984375,0.00146484375,0.00276947021484375,0.9893341064453125
gpt2-medium,mlp_out,21,0.9130434782608695,0.9808400273323059,0.9960335493087769,0.41768431663513184,0.9547715187072754,0.97178715467453,1.6656113862991333,2.774261236190796,0.02774261124432087,0.006011962890625,0.001800537109375,0.00490570068359375,0.9872817993164062
gpt2-medium,mlp_out,22,0.9565217391304348,0.9800723791122437,0.9952052235603333,0.5027786493301392,0.950036883354187,0.9698331952095032,1.7670000791549683,3.1222891807556152,0.031222891062498093,0.0055694580078125,0.00119781494140625,0.0059967041015625,0.9872360229492188
gpt2-medium,mlp_out,23,1.0,0.9742432832717896,0.9907307624816895,0.7127796411514282,0.9099538922309875,0.942219078540802,1.8566503524780273,3.447150230407715,0.03447150066494942,0.0,0.00022125244140625,0.0035400390625,0.9962387084960938
pythia-70m,mlp_out,0,0.0,0.9706660509109497,0.9880799651145935,0.7393441796302795,0.9045926332473755,0.928514838218689,0.20483629405498505,0.04195791110396385,0.0004195790970697999,0.0,0.0,0.0039215087890625,0.9960784912109375
pythia-70m,mlp_out,1,0.2,0.9208860397338867,0.9587555527687073,0.40415605902671814,0.732624888420105,0.7982153296470642,0.17030221223831177,0.02900284342467785,0.00029002843075431883,0.0,0.0001373291015625,0.0119476318359375,0.9879150390625
pythia-70m,mlp_out,2,0.4,0.9015120267868042,0.9470038414001465,0.4516359269618988,0.6784824132919312,0.7395265102386475,0.2076389640569687,0.043113935738801956,0.0004311393422540277,0.0,0.003814697265625,0.008087158203125,0.98809814453125
pythia-70m,mlp_out,3,0.6,0.8474090099334717,0.9098091125488281,0.2805243730545044,0.48776793479919434,0.6014242172241211,0.3438096046447754,0.11820504814386368,0.0011820504441857338,1.52587890625e-05,0.0059661865234375,0.04718017578125,0.94683837890625
pythia-70m,mlp_out,4,0.8,0.8178350329399109,0.8825539946556091,0.20074118673801422,0.418046772480011,0.5345090627670288,0.3761173486709595,0.1414642632007599,0.00141464255284518,0.0,0.0059814453125,0.077789306640625,0.916229248046875
pythia-70m,mlp_out,5,1.0,0.13085590302944183,0.09898584336042404,0.06240662559866905,0.07070742547512054,0.07506459951400757,2.1372995376586914,4.568049430847168,0.045680493116378784,3.0517578125e-05,0.5160675048828125,0.452789306640625,0.0311126708984375
pythia-160m,mlp_out,0,0.0,0.9768208861351013,0.9908575415611267,0.8106826543807983,0.9205330610275269,0.9476370811462402,0.25004395842552185,0.06252198666334152,0.0006252198363654315,0.0,0.0,0.0044759116135537624,0.9955241084098816
pythia-160m,mlp_out,1,0.09090909090909091,0.9307985305786133,0.9644546508789062,0.5703756809234619,0.7550874948501587,0.8192083835601807,0.14186665415763855,0.02012614905834198,0.00020126148592680693,0.0,2.0345052689663135e-05,0.00634765625,0.9936320185661316
pythia-160m,mlp_out,2,0.18181818181818182,0.935899555683136,0.9698134660720825,0.5479984879493713,0.7740102410316467,0.8371115326881409,0.2091415971517563,0.043740205466747284,0.00043740205001085997,0.0,0.002288818359375,0.0062357583083212376,0.9914754033088684
pythia-160m,mlp_out,3,0.2727272727272727,0.884190559387207,0.9369075894355774,0.29315751791000366,0.61930251121521,0.7047989964485168,0.21632112562656403,0.0467948280274868,0.0004679482663050294,0.0,0.0058390297926962376,0.01967366598546505,0.9744873046875
pythia-160m,mlp_out,4,0.36363636363636365,0.8742440342903137,0.9258095622062683,0.3981848657131195,0.5933632254600525,0.6807447671890259,0.24353332817554474,0.059308480471372604,0.0005930847837589681,0.00020345051598269492,0.006378173828125,0.01576741598546505,0.9776509404182434
pythia-160m,mlp_out,5,0.45454545454545453,0.8524144291877747,0.9184623956680298,0.24826934933662415,0.5071465373039246,0.5952571034431458,0.2707834541797638,0.07332368195056915,0.0007332367822527885,0.00038655599928461015,0.0063578286208212376,0.0394999198615551,0.9537556767463684
pythia-160m,mlp_out,6,0.5454545454545454,0.8614546656608582,0.9264104962348938,0.3036609888076782,0.5412622094154358,0.6260501146316528,0.261130690574646,0.06818923354148865,0.0006818923284299672,0.00016276042151730508,0.00677490234375,0.03116861917078495,0.9618937373161316
pythia-160m,mlp_out,7,0.6363636363636364,0.849677562713623,0.9116092920303345,0.2725525498390198,0.48474442958831787,0.6018317937850952,0.30293089151382446,0.09176713228225708,0.0009176713065244257,0.00023396809410769492,0.006988525390625,0.05023193359375,0.9425455927848816
pythia-160m,mlp_out,8,0.7272727272727273,0.8329879641532898,0.8964780569076538,0.26987192034721375,0.46925264596939087,0.5693913698196411,0.3635547161102295,0.13217203319072723,0.001321720308624208,0.00026448568678461015,0.006591796875,0.0565897636115551,0.936553955078125
pythia-160m,mlp_out,9,0.8181818181818182,0.8103474974632263,0.8827481269836426,0.20439952611923218,0.38958802819252014,0.4972659647464752,0.3765512704849243,0.14179085195064545,0.0014179084682837129,0.000244140625,0.006134033203125,0.095367431640625,0.89825439453125
pythia-160m,mlp_out,10,0.9090909090909091,0.7675413489341736,0.827517032623291,0.16078266501426697,0.3194943964481354,0.4300667345523834,0.4139968156814575,0.17139336466789246,0.0017139336559921503,1.0172526344831567e-05,0.0063985190354287624,0.1315816193819046,0.8620097041130066
pythia-160m,mlp_out,11,1.0,0.10839259624481201,0.09021904319524765,0.058117739856243134,0.06846404820680618,0.0726948007941246,3.4741787910461426,12.069918632507324,0.12069918215274811,0.00022379557776730508,0.6962077021598816,0.2929178774356842,0.010650634765625
pythia-410m,mlp_out,0,0.0,0.9763327836990356,0.9922120571136475,0.6930921077728271,0.9237685203552246,0.9455858469009399,0.29372692108154297,0.08627549558877945,0.0008627549395896494,0.0,0.0,0.0039215087890625,0.9960784912109375
pythia-410m,mlp_out,1,0.043478260869565216,0.8806077241897583,0.9321488738059998,0.25525331497192383,0.5926244854927063,0.6976310610771179,0.1208001896739006,0.014592684805393219,0.00014592683874070644,0.0,0.00095367431640625,0.027496337890625,0.9715499877929688
pythia-410m,mlp_out,2,0.08695652173913043,0.9365548491477966,0.9710058569908142,0.5905085206031799,0.7618005275726318,0.8344288468360901,0.18464067578315735,0.03409218043088913,0.0003409218043088913,0.0,2.288818359375e-05,0.00753021240234375,0.9924468994140625
pythia-410m,mlp_out,3,0.13043478260869565,0.9434309601783752,0.9760386943817139,0.36806780099868774,0.8041669726371765,0.8604657053947449,0.2036108821630478,0.041457388550043106,0.00041457387851551175,0.0,0.00051116943359375,0.01206207275390625,0.9874267578125
pythia-410m,mlp_out,4,0.17391304347826086,0.9367566108703613,0.9701617956161499,0.562930703163147,0.775966227054596,0.8442296385765076,0.23493245244026184,0.05519326031208038,0.0005519326077774167,0.0,0.00054931640625,0.00681304931640625,0.9926376342773438
pythia-410m,mlp_out,5,0.21739130434782608,0.9253628849983215,0.9639803171157837,0.29254117608070374,0.7469138503074646,0.8230933547019958,0.26500803232192993,0.07022925466299057,0.0007022925419732928,0.0,0.0050506591796875,0.0107574462890625,0.98419189453125
pythia-410m,mlp_out,6,0.2608695652173913,0.88416588306427,0.9386367201805115,0.2617241442203522,0.6196960210800171,0.6951780319213867,0.24188467860221863,0.05850819870829582,0.0005850819870829582,0.0001220703125,0.0075836181640625,0.01689910888671875,0.9753952026367188
pythia-410m,mlp_out,7,0.30434782608695654,0.8939341306686401,0.9486794471740723,0.2679744064807892,0.6226698160171509,0.7273697257041931,0.23118124902248383,0.053444765508174896,0.0005344476667232811,0.00031280517578125,0.00748443603515625,0.015380859375,0.9768218994140625
pythia-410m,mlp_out,8,0.34782608695652173,0.8953871726989746,0.9459066390991211,0.21670286357402802,0.6394356489181519,0.7431336045265198,0.24578765034675598,0.060411565005779266,0.0006041156593710184,0.00031280517578125,0.00749969482421875,0.0127410888671875,0.9794464111328125
pythia-410m,mlp_out,9,0.391304347826087,0.893381655216217,0.9474640488624573,0.2598436176776886,0.6271387934684753,0.7301105260848999,0.23194420337677002,0.05379811301827431,0.0005379811045713723,0.00075531005859375,0.00714111328125,0.0140380859375,0.9780654907226562
pythia-410m,mlp_out,10,0.43478260869565216,0.9018567204475403,0.9529039859771729,0.2828967869281769,0.6468278169631958,0.7420226335525513,0.22285711765289307,0.049665290862321854,0.0004966529086232185,0.0006256103515625,0.0072021484375,0.01285552978515625,0.9793167114257812
pythia-410m,mlp_out,11,0.4782608695652174,0.9175744652748108,0.9605193734169006,0.311196506023407,0.7040726542472839,0.7954729199409485,0.23650842905044556,0.05593623220920563,0.0005593622918240726,0.00081634521484375,0.00701904296875,0.00574493408203125,0.986419677734375
pythia-410m,mlp_out,12,0.5217391304347826,0.9059889316558838,0.9502747058868408,0.3541620075702667,0.6741695404052734,0.7638070583343506,0.21713973581790924,0.047149669378995895,0.00047149669262580574,0.00067138671875,0.00812530517578125,0.00565338134765625,0.9855499267578125
pythia-410m,mlp_out,13,0.5652173913043478,0.8723217844963074,0.9289196729660034,0.23301228880882263,0.5896148681640625,0.6741008758544922,0.23002488911151886,0.05291144549846649,0.0005291144479997456,0.0008392333984375,0.00717926025390625,0.01549530029296875,0.9764862060546875
pythia-410m,mlp_out,14,0.6086956521739131,0.8745696544647217,0.9264519214630127,0.33667126297950745,0.5908517837524414,0.6731451153755188,0.22521816194057465,0.05072321742773056,0.0005072321509942412,0.00048828125,0.00731658935546875,0.0182952880859375,0.9738998413085938
pythia-410m,mlp_out,15,0.6521739130434783,0.8710685968399048,0.92771977186203,0.2522839903831482,0.578271210193634,0.6618814468383789,0.22979716956615448,0.052806735038757324,0.0005280673503875732,0.0005645751953125,0.007415771484375,0.02068328857421875,0.9713363647460938
pythia-410m,mlp_out,16,0.6956521739130435,0.6351937651634216,0.6610731482505798,0.11616766452789307,0.2016753852367401,0.2558184564113617,0.2916410565376282,0.08505450934171677,0.0008505450678057969,0.000518798828125,0.0086669921875,0.353424072265625,0.63739013671875
pythia-410m,mlp_out,17,0.7391304347826086,0.777187705039978,0.8273271918296814,0.18850092589855194,0.4088212251663208,0.4973343312740326,0.2921135723590851,0.08533034473657608,0.0008533034124411643,0.0005645751953125,0.007659912109375,0.09429931640625,0.8974761962890625
pythia-410m,mlp_out,18,0.782608695652174,0.6930854320526123,0.7179456353187561,0.1582895666360855,0.2763306200504303,0.33569765090942383,0.34194982051849365,0.11692968755960464,0.0011692967964336276,0.000335693359375,0.0078277587890625,0.24831390380859375,0.7435226440429688
pythia-410m,mlp_out,19,0.8260869565217391,0.7826224565505981,0.8447067141532898,0.20900681614875793,0.3818945586681366,0.46046629548072815,0.34451255202293396,0.1186889037489891,0.0011868890142068267,0.00072479248046875,0.0072021484375,0.1200408935546875,0.8720321655273438
pythia-410m,mlp_out,20,0.8695652173913043,0.8483048677444458,0.8999199271202087,0.2897275984287262,0.5322273969650269,0.6277770400047302,0.33644673228263855,0.11319641023874283,0.0011319640325382352,0.00055694580078125,0.00733184814453125,0.03205108642578125,0.9600601196289062
pythia-410m,mlp_out,21,0.9130434782608695,0.7171550989151001,0.7412879467010498,0.23651839792728424,0.35872119665145874,0.41562342643737793,0.41140487790107727,0.16925399005413055,0.0016925398958846927,0.0003814697265625,0.0074310302734375,0.190093994140625,0.802093505859375
pythia-410m,mlp_out,22,0.9565217391304348,0.7746902108192444,0.8307556509971619,0.26311761140823364,0.3872371017932892,0.47313377261161804,0.4271264672279358,0.182437002658844,0.0018243700033053756,0.00017547607421875,0.007568359375,0.1111297607421875,0.8811264038085938
pythia-410m,mlp_out,23,1.0,0.5692874193191528,0.5438100099563599,0.12678101658821106,0.181758314371109,0.2210848331451416,0.696738064289093,0.4854438900947571,0.004854438826441765,7.62939453125e-05,0.00720977783203125,0.4520111083984375,0.5407028198242188
opt-125m,mlp_out,0,0.0,0.976212739944458,0.9940080642700195,0.4937554597854614,0.9399605393409729,0.9618980288505554,0.025027412921190262,0.0006263713585212827,6.263713657972403e-06,0.000701904296875,0.0028889973182231188,0.0072835288010537624,0.9891255497932434
opt-125m,mlp_out,1,0.09090909090909091,0.9614882469177246,0.9854434132575989,0.6008944511413574,0.8610566854476929,0.9087422490119934,0.021298207342624664,0.0004536136402748525,4.536136202659691e-06,0.000244140625,0.0009663899545557797,0.00640869140625,0.9923807978630066
opt-125m,mlp_out,2,0.18181818181818182,0.9726437926292419,0.9930031299591064,0.3853299021720886,0.923646092414856,0.956722617149353,0.02100483328104019,0.0004412030102685094,4.412030193634564e-06,0.0,0.0018208822002634406,0.011240641586482525,0.9869384765625
opt-125m,mlp_out,3,0.2727272727272727,0.9739101529121399,0.9934046268463135,0.5014471411705017,0.9270391464233398,0.9559069871902466,0.017615238204598427,0.00031029662932269275,3.1029662750370335e-06,0.0019938151817768812,0.0033671061974018812,0.00653076171875,0.9881083369255066
opt-125m,mlp_out,4,0.36363636363636365,0.9788221716880798,0.9949556589126587,0.591413676738739,0.9381961822509766,0.9646871089935303,0.025034695863723755,0.0006267360295169055,6.2673602769791614e-06,0.0025227863807231188,0.0027058918494731188,0.005706787109375,0.9890645146369934
opt-125m,mlp_out,5,0.45454545454545453,0.9762141108512878,0.9945043921470642,0.582243025302887,0.9414101839065552,0.9619619250297546,0.030886463820934296,0.0009539735619910061,9.539735401631333e-06,0.005340576171875,0.005462646484375,0.001312255859375,0.987884521484375
opt-125m,mlp_out,6,0.5454545454545454,0.975091278553009,0.993600070476532,0.5986523628234863,0.9287962913513184,0.954083263874054,0.03409362584352493,0.0011623752070590854,1.162375156127382e-05,0.0057779946364462376,0.0054423012770712376,0.0014750162372365594,0.9873046875
opt-125m,mlp_out,7,0.6363636363636364,0.9718720316886902,0.9934247732162476,0.21281227469444275,0.9259042143821716,0.9564366340637207,0.04041159152984619,0.0016330966027453542,1.6330965081579052e-05,0.00341796875,0.0054931640625,0.005126953125,0.9859619140625
opt-125m,mlp_out,8,0.7272727272727273,0.9761753082275391,0.9941277503967285,0.6619572043418884,0.9312248229980469,0.9599465131759644,0.0529484897851944,0.0028035426512360573,2.8035425202688202e-05,0.005584716796875,0.004974365234375,0.00043741861009038985,0.9890034794807434
opt-125m,mlp_out,9,0.8181818181818182,0.9769658446311951,0.9940298199653625,0.7133814692497253,0.9374600648880005,0.9609757661819458,0.06993887573480606,0.00489144679158926,4.891446587862447e-05,0.0074462890625,0.0062357583083212376,0.000335693359375,0.9859822392463684
opt-125m,mlp_out,10,0.9090909090909091,0.9754363894462585,0.9920737743377686,0.723996102809906,0.9317304491996765,0.9556078910827637,0.08911041170358658,0.007940665818750858,7.940665818750858e-05,0.0015055338153615594,0.0059611001051962376,0.00046793618821538985,0.9920654296875
opt-125m,mlp_out,11,1.0,0.9702231287956238,0.9907888174057007,0.5208122730255127,0.9169755578041077,0.9436161518096924,0.09142084419727325,0.00835777074098587,8.357770275324583e-05,0.00041707357740961015,0.0071818032301962376,0.001953125,0.990447998046875
